"""passé composé""","""empty""","""je""","""tu""","""il ""","""elle""","""nous""","""vous""","""ils""","""elles"""
"""mettre""","""to set, to put on""","""ai mis""","""as mis""","""a mis""","""a mis""","""avons mis""","""avez mis""","""ont mis""","""ont mis"""
"""mourir""","""to die""","""suis mort""","""es mort""","""est mort""","""est morte""","""sommes morts""","""êtes morts""","""sont morts""","""sont mortes"""
"""naître""","""to be born""","""suis né""","""es né""","""est né""","""est née""","""sommes nés""","""êtes nés""","""sont nés""","""sont nées"""
"""partir""","""to leave""","""suis parti""","""es parti""","""est parti""","""est partie""","""sommes partis""","""êtes partis""","""sont partis""","""sont parties"""
"""perdre""","""to loose""","""ai perdu""","""as perdu""","""a perdu""","""a perdu""","""avons perdu""","""avez perdu""","""ont perdu""","""ont perdu"""
"""permettre""","""to allow""","""ai permis""","""as permis""","""a permis""","""a permis""","""avons permis""","""avez permis""","""ont permis""","""ont permis"""
"""pouvoir""","""to be able to""","""ai pu""","""as pu""","""a pu""","""a pu""","""avons pu""","""avez pu""","""ont pu""","""ont pu"""
"""prendre""","""to take""","""ai pris""","""as pris""","""a pris""","""a pris""","""avons pris""","""avez pris""","""ont pris""","""ont pris"""
"""promettre""","""to promise""","""ai permis""","""as permis""","""a permis""","""a permis""","""avons permis""","""avez permis""","""ont permis""","""ont permis"""
"""remettre""","""to postpone""","""ai remis""","""as remis""","""a remis""","""a remis""","""avons remis""","""avez remis""","""ont remis""","""ont remis"""
"""rendre""","""to give back""","""ai rendu""","""as rendu""","""a rendu""","""a rendu""","""avons rendu""","""avez rendu""","""ont rendu""","""ont rendu"""
"""répondre""","""to answer""","""ai répondu""","""as répondu""","""a répondu""","""a répondu""","""avons répondu""","""avez répondu""","""ont répondu""","""ont répondu"""
"""revenir""","""to come back""","""suis revenu""","""es revenu""","""est revenu""","""est revenue""","""sommes revenus""","""êtes revenus""","""sont revenus""","""sont revenues"""
"""rire""","""to laugh""","""ai ri""","""as ri""","""a ri""","""a ri""","""avons ri""","""avez ri""","""ont ri""","""ont ri"""
"""savoir""","""to know how to""","""ai su""","""as su""","""a su""","""a su""","""avons su""","""avez su""","""ont su""","""ont su"""
"""sortir""","""to go out""","""suis sorti""","""es sorti""","""est sorti""","""est sortie""","""sommes sortis""","""êtes sortis""","""sont sortis""","""sont sorties"""
"""sourire""","""to smile""","""ai souri""","""as souri""","""a souri""","""a souri""","""avons souri""","""avez souri""","""ont souri""","""ont souri"""
"""suivre""","""to follow""","""ai suivi""","""as suivi""","""a suivi""","""a suivi""","""avons suivi""","""avez suivi""","""ont suivi""","""ont suivi"""
"""vendre""","""to sell""","""ai vendu""","""as vendu""","""a vendu""","""a vendu""","""avons vendu""","""avez vendu""","""ont vendu""","""ont vendu"""
"""venir""","""to come""","""suis venu""","""es venu""","""est venu""","""est venue""","""sommes venus""","""êtes venus""","""sont venus""","""sont venues"""
"""vouloir""","""to want""","""ai voulu""","""as voulu""","""a voulu""","""a voulu""","""avons voulu""","""avez voulu""","""ont voulu""","""ont voulu"""
,,,,,,,,,
