"""se dépêcher""","""to hurry""","""me dépêchais""","""te dépêchais""","""se dépêchait""","""nous dépêchions""","""vous dépêchiez""","""se dépêchaient"""
"""se détendre""","""to relax""","""me détendais""","""te détendais""","""se détendait""","""nous détendions""","""vous détendiez""","""se détendaient"""
"""se disputer""","""to argue""","""me disputais""","""te disputais""","""se disputait""","""nous disputions""","""vous disputiez""","""se disputaient"""
"""se fâcher""","""to get angry""","""me fâchais""","""te fâchais""","""se fâchait""","""nous fâchions""","""vous fâchiez""","""se fâchaient"""
"""se fiancer""","""to get engaged""","""me fiançais""","""te fiançais""","""se fiançait""","""nous fiancions""","""vous fianciez""","""se fiançaient"""
"""se laver ""","""to wash""","""me lavais""","""te lavais""","""se lavait""","""nous lavions""","""vous laviez""","""se lavaient"""
"""se lever""","""to get up""","""me levais""","""te levais""","""se levait""","""nous levions""","""vous leviez""","""se levaient"""
"""se marier""","""to get married""","""me mariais""","""te mariais""","""se mariait""","""nous mariions""","""vous mariiez""","""se mariaient"""
"""se méfier""","""to distrust""","""me méfiais""","""te méfiais""","""se méfiait""","""nous méfiions""","""vous méfiiez""","""se méfiaient"""
"""se passer""","""to do without""","""me passais""","""te passais""","""se passait""","""nous passions""","""vous passiez""","""se passaient"""
"""se peigner""","""to comb""","""me peignais""","""te peignais""","""se peignait""","""nous peignions""","""vous peigniez""","""se peignaient"""
"""se préparer""","""to get ready""","""me préparais""","""te préparais""","""se préparait""","""nous préparions""","""vous prépariez""","""se préparaient"""
"""se rappeler""","""to recall""","""me rappelais""","""te rappelais""","""se rappelait""","""nous rappelions""","""vous rappeliez""","""se rappelaient"""
"""se raser""","""to shave""","""me rasais""","""te rasais""","""se rasait""","""nous rasions""","""vous rasiez""","""se rasaient"""
"""se reposer""","""to relax""","""me reposais""","""te reposais""","""se reposait""","""nous reposions""","""vous reposiez""","""se reposaient"""
"""se réveiller""","""to wake up""","""me réveillais""","""te réveillais""","""se réveillait""","""nous réveillions""","""vous réveilliez""","""se réveillaient"""
"""se sentir""","""to feel""","""me sentais""","""te sentais""","""se sentait""","""nous sentions""","""vous sentiez""","""se sentaient"""
"""se souvenir""","""to remember""","""me souvenais""","""te souvenais""","""se souvenait""","""nous souvenions""","""vous souveniez""","""se souvenaient"""
"""s'embrasser""","""to kiss ""","""m'embrassais""","""t'embrassais""","""s'embrassait""","""nous embrassions""","""vous embrassiez""","""s'embrassaient"""
"""s'entendre""","""to get along""","""m'entendais""","""t'entendais""","""s'entendait""","""nous entendions""","""vous entendiez""","""s'entendaient"""
"""s'habituer""","""to get used to""","""m'habituais""","""t'habituais""","""s'habituait""","""nous habituions""","""vous habituiez""","""s'habituaient"""
"""s'intéresser""","""to be interested in""","""m'intéressais""","""t'intéressais""","""s'intéressait""","""nous intéressions""","""vous intéressiez""","""s'intéressaient"""
"""s'occuper""","""to take care of""","""m'occupais""","""t'occupais""","""s'occupait""","""nous occupions""","""vous occupiez""","""s'occupaient"""
